        Goodreads Top 100 - Highest Rated Books on Goodreads with at least 10,000 Ratings

                      Name                        ,Author                  ,Ratings          
Redeeming 6 (Boys of Tommen, #4)     , Chloe Walsh      ,  4.64 avg rating — 17,105 ratings
Unbound: My Story of Liberation and the Birth of the Me Too Movement     , Tarana Burke      ,  4.59 avg rating — 12,130 ratings
Stars & Stripes (Cut & Run, #6)     , Abigail Roux      ,  4.57 avg rating — 11,272 ratings
Attack on Titan, Vol. 12 (Attack on Titan, #12)     , Hajime Isayama      ,  4.56 avg rating — 17,916 ratings
The Last Hope (Warriors: Omen of the Stars, #6)     , Erin Hunter      ,  4.56 avg rating — 13,273 ratings
The Five Wishes of Mr. Murray McBride     , Joe Siple      ,  4.64 avg rating — 17,620 ratings
Spy x Family, Vol. 2 (Spy × Family, #2)     , Tatsuya Endo      ,  4.56 avg rating — 41,195 ratings
Magic Triumphs (Kate Daniels, #10)     , Ilona Andrews      ,  4.56 avg rating — 30,415 ratings
The Sea Speaks His Name     , Leila S. Chudori      ,  4.62 avg rating — 14,675 ratings
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 1     , Mò Xiāng Tóng Xiù      ,  4.57 avg rating — 15,437 ratings
Magical Midlife Meeting (Leveling Up, #5)     , K.F. Breene      ,  4.62 avg rating — 13,586 ratings
Iron Prince (Warformed: Stormweaver, #1)     , Bryce O'Connor      ,  4.60 avg rating — 13,727 ratings
Ciudades de fuego (Trilogía Fuego, 3)     , Joana Marcús      ,  4.61 avg rating — 15,236 ratings
A Heart That Works     , Rob Delaney      ,  4.62 avg rating — 22,149 ratings
The Warden and the Wolf King (The Wingfeather Saga #4)     , Andrew       Peterson      ,  4.75 avg rating — 11,636 ratings
The Adventure Zone Vol. 2: Murder on the Rockport Limited!     , Clint McElroy      ,  4.60 avg rating — 12,229 ratings
Desperation in Death (In Death, #55)     , J.D. Robb      ,  4.58 avg rating — 21,855 ratings
Midlife Fairy Hunter (Forty Proof, #2)     , Shannon Mayer      ,  4.59 avg rating — 11,462 ratings
Black Butler VII     , Yana Toboso      ,  4.55 avg rating — 10,703 ratings
